Nom,Prénom,Date de naissance,Société,Date d'embauche,Salaire annuel (€)
Devaux,Xavier,27/12/1988,Weber,18/01/2021,57755
Boutin,Sabine,30/08/1986,Berger,01/08/2006,51490
Samson,Gilles,19/11/1969,Ferreira,23/01/2013,33128
Toussaint,Michelle,13/05/1979,Couturier Vidal S.A.,13/10/2005,65532
Neveu,Rémy,06/01/2005,Bertin,06/10/2006,43953
Lejeune,Georges,20/02/1993,Fabre,06/08/2016,63710
Weber,Arnaude,31/01/1996,Maury S.A.R.L.,21/12/2005,72781
Ollivier,Stéphanie,18/03/1982,Bertin et Fils,03/01/2014,78911
Hubert,Thibaut,19/09/2003,Lambert,25/08/2012,50498
Da Silva,Jacqueline,08/07/1988,Benoit,31/10/2016,27880
Teixeira,Lucas,13/11/1981,Picard S.A.,08/06/2012,34176
Turpin,Suzanne,12/09/1990,Merle S.A.S.,07/07/2008,47971
Buisson,Daniel,07/02/1991,Morel,26/06/2017,74641
Neveu,Susan,20/12/1984,Hamel,30/05/2020,26431
Rodrigues,Camille,16/08/1980,Renaud Gaillard S.A.,11/07/2022,84753
Meyer,Aurore,18/12/2002,Muller S.A.,25/08/2024,66236
Germain,Philippine,22/08/1973,Vasseur Mallet SA,25/03/2024,71616
Evrard,Michel,28/07/2003,Girard,07/04/2019,49252
Barbier,Alexandre,12/05/1990,Noël Briand S.A.R.L.,27/01/2015,39975
Barre,Aurélie,23/07/2000,Delahaye SARL,06/06/2023,30598
Rodriguez,Louis,24/08/1965,Laine,03/04/2014,43349
Paris,Émilie,27/12/1972,Dufour,10/03/2024,63902
Moreno,Amélie,08/07/1985,Moreno et Fils,03/04/2005,80686
Laurent,Gilles,27/01/1994,Perret,12/02/2015,45708
Mace,Paulette,14/04/1973,Hervé,21/01/2021,36966
